,Component 1,Component 2,Prediction
0,-0.5908194693206134,1.3089149090535124,L
1,-1.8236958844630398,2.5779720135384467,XL
2,-0.42905739460052,-1.770286348740678,M
3,-0.04963770202984178,0.8773075357376867,M
4,-1.1436514018786132,0.023721869712728327,XL
5,-2.594919048634697,-0.9691265349440246,XXXL
6,0.6742511873098348,1.022094066724614,M
7,0.9155474837563938,1.0703562437202563,M
8,0.38670935819839997,0.5081127974200834,M
9,-0.042245249559878136,-1.1133958657513208,M
10,1.7955939193853192,-0.9044982335456895,S
11,-4.185376146999433,0.7923602711856359,XXXL
12,-1.0520141612708986,0.7164932294460835,XL
13,2.128768079291121,1.2773765586237866,S
14,1.8072440846525455,0.8123021791109111,S
15,1.9592584236970332,-0.05420134041053448,S
16,0.1942545004738899,2.14441663139008,M
17,-0.37851401184085937,1.6486981568555499,L
18,0.7641864838799366,-0.019553068172624394,M
19,0.3559764378964614,-0.18054622554584188,M
20,-0.31813691340408634,0.08942327760074933,M
21,0.10497254307181753,1.2296509348729872,M
22,0.454593414657639,1.9187758195533153,M
23,3.023473302560947,-1.1590846741836174,XXS
24,-0.42000313539046535,-1.2723328547408235,M
25,0.9352434406616144,-1.159959576526477,M
26,-0.5966244833054666,0.0733955022960733,L
27,1.8716784103325743,0.7654514577029713,S
28,-0.4042097628784772,-0.8086699308156501,M
29,-3.170042844155089,-1.2428506726948172,XXXL
30,0.040538217391789644,1.2765016562809317,M
31,-2.641164581299573,-1.4348456272529126,XXXL
32,3.3300577494095718,-0.9190063937114937,XXS
33,1.1668321387300882,0.3467619378836373,M
34,1.0669084836328517,2.160265555613141,M
35,-4.1847228078314025,-1.1640525602286949,XXXL
36,-0.367018489423656,-0.8409043325066164,M
37,-2.570031279615133,-0.7617485178772656,XXXL
38,0.11792938667510477,-0.9663743152990645,M
39,0.6444523663249772,-0.9363749330734272,M
40,1.2684176005674166,1.0219152156429996,M
41,0.736983568952251,-0.7591751493139194,M
42,2.407015026340973,-0.14743692151201582,S
43,1.980656324639866,-0.5500986660266739,S
44,0.15795718903862777,1.6610794571071987,M
45,0.7023882015546015,0.491906171033793,M
46,0.6163153520802105,-0.4061870373826064,M
47,-0.5412845541330141,0.2828296877465475,L
48,0.8973988280387626,0.8286876565788157,M
49,2.0327470085871164,0.39690143218138024,S
50,0.3594663059731925,0.5227291171370567,M
51,4.375470633387824,-0.30914548321169055,XXS
52,2.7004020067347816,0.8478253536916807,S
53,-1.2693166507174523,1.3911806454910476,XL
54,1.4974103925787186,1.3097898113963673,M
55,0.38411345214122805,-0.7107341212366627,M
56,-2.6020307409556094,1.7081797211271978,XXXL
57,1.5931908404311943,0.7494236823982953,M
58,2.099737103026796,2.3231360302884596,S
59,2.5185888467054367,-0.2441401265849149,S
60,1.017826422059274,-0.9651417107929761,M
61,1.6459348635464743,-0.25998905080797663,S
62,1.454373967841523,0.8607432071881678,M
63,0.29092891034592405,1.0684789264181553,M
64,1.3765015528551492,0.22193666788720184,M
65,0.9568819644559764,-0.21501564670213763,M
66,-0.39317279948175843,2.110304912397013,L
67,1.980656324639866,-0.5500986660266739,S
68,-0.3239820646864605,-0.3918577282984168,M
69,1.454373967841523,0.8607432071881678,M
70,1.6089842129431824,1.2130866063234682,M
71,1.48316432125432,-1.6258575199169794,S
72,-1.4048842780819213,0.7649342575233403,XL
73,2.151713281421544,-1.6905051743805268,S
74,-2.570031279615133,-0.7617485178772656,XXXL
75,2.1659593527459426,1.2451421569328203,S
76,1.3211616236826969,0.012502482436727635,M
77,-1.6941280512309689,-1.4834655064117839,XL
78,-1.9609654558651228,0.2173071309401408,XL
79,-2.317084817901347,1.003314071774982,XXXL
80,-2.813923482118864,-2.028857613529654,XXXL
81,-1.4692784664644285,0.05754657807301161,XL
82,3.094606604245387,-0.4859875648079698,XXS
83,-2.169213686101621,1.3899480409849643,XL
84,-1.5155641364268262,0.3460658866223919,XL
85,0.33782778217883036,-0.42221481268728245,M
86,0.5603220837397287,1.3407916085812501,M
87,0.2627918961011583,1.598666822108981,M
88,2.7045452139795434,-0.4053121350397467,S
89,1.0461639218580479,0.6997500498149503,M
90,1.7888548060833855,-0.8702076634710084,S
91,1.4980637317467487,-0.6466230200179586,S
92,-0.5254911816210263,0.7464926116717203,L
93,-0.08682897548466306,0.9095419374286531,M
94,-0.03384432951785288,1.3409704596628644,M
95,-3.4989191539661064,-0.47146005157695386,XXXL
96,0.39990682465321603,-0.24707119731148966,M
97,0.12726440603421005,0.21818203328300043,M
98,-3.2515370833856436,1.498924386758338,XXXL
99,-2.5328400061603116,-0.793982919568232,XXXL
100,1.2327736283001847,-1.4178347900542079,M
101,0.2660411413263597,0.8611009093513964,M
102,-2.5269948548779375,-0.3127019136690658,XXXL
103,-2.2517565302017597,0.44089177439319005,XXXL
104,0.15536128298145496,0.442232538450448,M
105,0.7023882015546015,0.491906171033793,M
106,0.1155741034694617,-0.7443799785153318,M
107,1.9211731882226524,0.49360463725427933,S
108,-0.04874374001028253,0.3617359597638393,M
109,2.2184627530096943,-1.2051118317139302,S
110,2.026901857304742,-0.08437957371778582,S
111,0.5313312447729237,1.6323126793876452,M
112,1.5162123874643798,-0.40495443287651806,S
113,0.8007244181667283,1.90462536155074,M
114,1.5287565147511657,0.796274403806235,M
115,2.479042290044972,0.010088611889783883,S
116,-4.539140225830014,1.3563728752367399,XXXL
117,-0.9190424399636014,0.12389269875704503,XL
118,0.9255358422835293,0.29849976088799485,M
119,1.194035053657774,1.0863840190249323,M
120,0.43969400416520926,0.9395413196542899,M
121,-0.2718913807392104,0.5551423699096375,M
122,0.8081168706366911,-0.08607803993827218,M
123,-2.6385686752424014,-0.2159987085961667,XXXL
124,-2.162715195651217,-0.08518378453020053,XXXL
125,-1.4204370277423797,1.7421125890386504,XL
126,-1.9237741824103014,0.18507272924917445,XL
127,2.8533103077988287,-0.5342497418036122,XXS
128,0.18171037318710326,0.9431877947073222,M
129,0.43620413608847813,0.23626597697139146,M
130,-0.367018489423656,-0.8409043325066164,M
131,-1.0148228878160772,0.6842588277551171,XL
132,0.43555079692044874,2.1926788083857223,M
133,-1.7759030506105753,0.5717066984591564,XL
134,-2.1559760823492837,-0.11947435460488187,XXXL
135,-0.24464832851400298,0.5405260501926641,M
136,0.689803936970294,0.04491573520930833,M
137,-0.4511086347113836,0.6820238082897876,L
138,-3.1706961833231184,0.7135621587195136,XXXL
139,0.8236696202971504,-1.0632563714535779,M
140,0.7269952104251154,0.01268133351834197,M
141,0.8081168706366911,-0.08607803993827218,M
142,-0.6612994318370242,-1.3205950317364659,XL
143,3.1441013821354655,-0.7578343852566619,XXS
144,0.4710401263376564,0.4260259120641577,M
145,3.0920106981882154,-1.7048344834647162,XXS
146,-4.556635542379616,-0.8417085433190313,XXXL
147,0.4930913664485202,-2.026284244966308,M
148,-3.808512223188404,1.4668688361489859,XXXL
149,-1.273614500812237,-1.5620847677962921,XL
150,-4.758144659314182,0.2966417966511059,XXXL
151,2.012002446812313,-1.0636140736168067,S
152,-0.5901661301525838,-0.6474979223608183,L
153,2.1873572536887758,0.7492448313166808,S
154,-0.5694215683777808,0.8130175834373684,L
155,2.2070532105939966,-1.4810709889300522,S
156,1.8072440846525455,0.8123021791109111,S
157,-4.328536712387873,-0.03826237159181567,XXXL
158,0.8236696202971504,-1.0632563714535779,M
159,2.122922928008747,0.7960955527246207,S
160,-1.044621708800935,-1.274210172042924,XL
161,-0.2818396019688243,0.5727604518836305,M
162,0.1603124722442699,1.4390851203234614,M
163,1.0526624123084525,-0.7753817757002097,M
164,-1.642037367283719,-0.5364654082037297,XL
165,-1.9469600073922522,1.7121132068130138,XL
166,-2.000752635377116,-0.969305386025639,XXXL
167,-0.34627392764885295,0.6196111732915702,M
168,1.8411861128821658,1.5176336901775294,S
169,1.194929015677333,0.5708124430510848,M
170,2.9804368778237516,-1.608131278391817,XXS
171,-2.3228898318862,-0.232205334982457,XXXL
172,1.1205464687676905,0.6352812464330175,M
173,-0.9032490674516134,0.5875556226822181,XL
174,-1.284216061209881,0.4119461455920273,XL
175,-5.020185517535543,-1.212135886142723,XXXL
176,-1.8122003620458376,0.08836952417627536,XL
177,-0.49503902146813816,0.7485487800554357,L
178,1.194035053657774,1.0863840190249323,M
179,2.977187632598549,-0.870565365634237,XXS
180,2.151713281421544,-1.6905051743805268,S
181,2.7358913361519903,-0.9188275426298794,XXS
182,-2.489803581423116,-0.34493631536003216,XXXL
183,0.8453081440915124,-0.11831244162923854,M
184,3.387993584639196,0.5092747103957268,XXS
185,0.2081053060967354,-0.5671801947558239,M
186,-1.023877147026132,0.1863053337552627,XL
187,-0.40510372489803653,-0.29309835484180263,M
188,-0.9925310248536848,-0.3272100738348698,XL
189,0.8660527058663154,1.342203064168948,M
190,0.5849692299077633,0.107328370207526,M
191,-1.4692784664644285,0.05754657807301161,XL
192,-0.4018544796728343,-1.030664267599383,M
193,-2.176720644124087,-1.5799898604030684,XXXL
194,2.101284404214385,-0.14884837709971854,S
195,1.779800546873331,-1.3681611574708628,S
196,0.9155474837563938,1.0703562437202563,M
197,1.5873456891488202,0.26814267649912915,S
198,-4.088942359978927,-1.7244186892267668,XXXL
199,-0.5594332098506453,0.04116110060510694,L
200,-3.4303817583388376,-1.0172098608580527,XXXL
201,1.1105982475380767,0.6528993284070105,M
202,-3.660641091388678,1.8535028053589682,XXXL
203,-1.999050691339503,0.7651131086049546,XL
204,0.2999831695559796,1.5664324204180147,M
